model,i,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~1)p(~wind)pent(~1)N(~1),28,0.76 [0.512-0.906],0.25 [0.053-0.673],0.1 [0.063-0.156],64 [36-166],5,89.8705273076923,8.20814100000001,0.00303185046833918,-41.446245,8 [4-21]
Phi(~1)p(~temp + wind)pent(~1)N(~1),16,0.8 [0.602-0.913],0.18 [0.049-0.488],0.07 [0.031-0.14],78 [44-179],6,89.940761,8.27837469230769,0.00292722917805695,-44.428319,10 [6-22]
Phi(~1)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),85,0.82 [0.509-0.954],0.29 [0.043-0.698],0.12 [0.032-0.446],69 [35-229],8,89.9858425652174,8.3234562575251,0.00286198522878983,-51.284107,9 [4-29]
Phi(~Time + I(Time^2))p(~wind)pent(~1)N(~1),30,0.68 [0.207-0.922],0.24 [0.065-0.566],0.1 [0.067-0.14],65 [39-144],7,90.0100336666667,8.34764735897437,0.00282757645730823,-47.665713,8 [5-18]
Phi(~1)p(~temp + sundur)pent(~1)N(~1),13,0.8 [0.598-0.915],0.18 [0.049-0.482],0.07 [0.034-0.147],77 [43-177],6,90.135484,8.4730976923077,0.00265566422571154,-44.233596,10 [5-22]
Phi(~Time)p(~sundur + wind)pent(~1)N(~1),8,0.64 [0.369-0.865],0.25 [0.072-0.581],0.1 [0.068-0.143],65 [39-143],7,90.1422546666667,8.47986835897437,0.00264668911752414,-47.533492,8 [5-18]
Phi(~Time)p(~sundur + wind)pent(~Time)N(~1),38,0.63 [0.369-0.847],0.41 [0.094-0.783],0.12 [0.077-0.18],48 [31-114],8,90.3630165652174,8.70063025752509,0.00237009140039599,-50.906933,6 [4-14]
Phi(~Time + I(Time^2))p(~sundur)pent(~1)N(~1),6,0.68 [0.268-0.914],0.24 [0.075-0.539],0.1 [0.072-0.142],67 [40-148],7,90.5293356666667,8.86694935897437,0.00218096833653118,-47.146411,8 [5-18]
Phi(~Time + I(Time^2))p(~wind)pent(~Time)N(~1),60,0.61 [0.304-0.892],0.42 [0.098-0.781],0.12 [0.076-0.18],47 [31-114],8,90.5320985652174,8.86971225752509,0.0021779575195274,-50.737851,6 [4-14]
Phi(~Time)p(~temp + wind)pent(~Time)N(~1),47,0.63 [0.358-0.861],0.4 [0.088-0.786],0.12 [0.075-0.182],48 [31-117],8,90.5662425652174,8.90385625752509,0.00214109101662344,-50.703707,6 [4-15]
Phi(~Time + I(Time^2))p(~Time)pent(~Time)N(~1),54,0.79 [0.238-0.973],0.26 [0.045-0.813],0.12 [0.053-0.283],64 [34-201],8,90.9856485652174,9.32326225752509,0.00173605017760596,-50.284301,8 [4-25]
Phi(~Time)p(~temp + sundur)pent(~Time)N(~1),44,0.66 [0.368-0.884],0.35 [0.101-0.72],0.12 [0.072-0.188],53 [34-118],8,91.1156245652174,9.45323825752509,0.00162681565789587,-50.154325,7 [4-15]
Phi(~1)p(~temp + wind)pent(~Time + I(Time^2))N(~1),76,0.74 [0.55-0.873],0.27 [0.07-0.651],0.12 [0.052-0.232],64 [37-153],8,91.1425755652174,9.48018925752508,0.00160504054825212,-50.127374,8 [5-19]
Phi(~Time + I(Time^2))p(~sundur)pent(~Time)N(~1),36,0.66 [0.307-0.911],0.35 [0.104-0.722],0.12 [0.074-0.188],52 [33-120],8,91.2151075652174,9.55272125752509,0.00154787499600371,-50.054842,6 [4-15]
Phi(~Time + I(Time^2))p(~temp)pent(~Time)N(~1),42,0.66 [0.305-0.912],0.35 [0.098-0.727],0.12 [0.072-0.189],52 [33-120],8,91.2192525652174,9.55686625752509,0.00154467034703905,-50.050697,6 [4-15]
Phi(~1)p(~temp + sundur)pent(~Time + I(Time^2))N(~1),73,0.75 [0.554-0.874],0.27 [0.073-0.629],0.12 [0.052-0.234],64 [37-151],8,91.2291575652174,9.56677125752509,0.00153703927917456,-50.040792,8 [5-19]
Phi(~Time)p(~Time + I(Time^2))pent(~Time + I(Time^2))N(~1),86,0.63 [0.297-0.878],0.48 [0.024-0.877],0.12 [0.042-0.329],50 [31-144],9,91.3213021818182,9.65891587412588,0.00146783086895431,-53.869596,6 [4-18]
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time)N(~1),57,0.63 [0.159-0.903],0.49 [0.042-0.856],0.12 [0.075-0.203],49 [32-111],9,91.3433921818182,9.68100587412589,0.00145170788011856,-53.847506,6 [4-14]
Phi(~1)p(~sundur + wind)pent(~Time + I(Time^2))N(~1),67,0.74 [0.548-0.874],0.29 [0.071-0.68],0.12 [0.052-0.24],61 [36-151],8,91.7918755652174,10.1294892575251,0.00116009166085079,-49.478074,8 [4-19]
Phi(~1)p(~temp + wind + sundur)pent(~Time)N(~1),49,0.74 [0.546-0.866],0.29 [0.072-0.691],0.12 [0.071-0.187],58 [35-137],8,92.1385295652174,10.4761432575251,0.000975477699242404,-49.13142,7 [4-17]
Phi(~Time)p(~temp + wind + sundur)pent(~1)N(~1),20,0.67 [0.379-0.895],0.24 [0.065-0.575],0.09 [0.057-0.144],65 [39-141],8,92.7481675652174,11.0857812575251,0.000719177572670222,-48.521782,8 [5-18]
Phi(~Time + I(Time^2))p(~temp + wind)pent(~1)N(~1),18,0.67 [0.309-0.92],0.24 [0.067-0.571],0.09 [0.055-0.143],64 [39-140],8,92.8962525652174,11.2338662575251,0.000667851470293668,-48.373697,8 [5-18]
