model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time)p(~sundur)pent(~1)N(~1),0.86 [0.828-0.894],0.02 [0.018-0.029],0.04 [0.023-0.052],19036 [16241-22389],6,1936.79064803216,65.7205881762916,2.9792114798777e-15,-9876.1495,208 [180-243]
Phi(~Time + I(Time^2))p(~sundur + wind)pent(~1)N(~1),0.86 [0.812-0.902],0.02 [0.019-0.03],0.04 [0.025-0.053],19223 [16446-22540],8,1937.07199110546,66.0019312495927,2.58826333759974e-15,-9879.8935,189 [162-220]
Phi(~Time + I(Time^2))p(~sundur)pent(~1)N(~1),0.86 [0.815-0.9],0.02 [0.018-0.029],0.03 [0.023-0.052],19080 [16268-22454],7,1938.59991744285,67.529857586974,1.20565616751691e-15,-9876.3521,195 [167-227]
Phi(~Time)p(~Time)pent(~Time + I(Time^2))N(~1),0.84 [0.797-0.867],0.03 [0.023-0.044],0.02 [0.008-0.125],20414 [17188-24334],8,1944.49149110546,73.4214312495926,0,-9872.4741,218 [187-253]
Phi(~1)p(~Time + I(Time^2))pent(~1)N(~1),0.89 [0.857-0.921],0.03 [0.019-0.035],0.04 [0.03-0.058],23108 [19784-27061],6,1946.16684803216,75.0967881762915,0,-9866.7733,182 [153-218]
Phi(~Time + I(Time^2))p(~1)pent(~Time)N(~1),0.86 [0.807-0.894],0.03 [0.02-0.034],0.05 [0.029-0.07],19823 [17016-23162],7,1946.72771744285,75.657657586974,0,-9868.2243,198 [168-233]
Phi(~Time)p(~wind)pent(~Time + I(Time^2))N(~1),0.85 [0.815-0.884],0.03 [0.024-0.038],0.05 [0.033-0.071],19448 [16776-22611],8,1947.56439110546,76.4943312495927,0,-9869.4012,211 [182-246]
Phi(~Time)p(~Time + I(Time^2))pent(~1)N(~1),0.9 [0.841-0.937],0.03 [0.019-0.035],0.04 [0.029-0.058],23547 [19923-27913],7,1947.75481744285,76.684757586974,0,-9867.1972,191 [164-222]
Phi(~Time + I(Time^2))p(~wind)pent(~Time)N(~1),0.86 [0.807-0.895],0.03 [0.021-0.034],0.05 [0.03-0.07],19841 [17039-23172],8,1947.79369110546,76.7236312495927,0,-9869.1719,194 [166-227]
Phi(~Time)p(~1)pent(~Time + I(Time^2))N(~1),0.85 [0.814-0.884],0.03 [0.024-0.038],0.05 [0.033-0.072],19384 [16724-22531],7,1947.89841744285,76.8283575869741,0,-9867.0536,193 [167-225]
Phi(~1)p(~Time + I(Time^2))pent(~Time)N(~1),0.89 [0.856-0.921],0.03 [0.019-0.036],0.04 [0.024-0.078],22691 [18956-27259],7,1948.03751744285,76.967457586974,0,-9866.9145,191 [162-224]
Phi(~Time + I(Time^2))p(~1)pent(~Time + I(Time^2))N(~1),0.85 [0.789-0.901],0.03 [0.021-0.037],0.05 [0.027-0.083],19748 [16980-23036],8,1948.21229110546,77.1422312495927,0,-9868.7533,192 [163-227]
Phi(~1)p(~temp + wind)pent(~Time + I(Time^2))N(~1),0.86 [0.838-0.881],0.03 [0.026-0.041],0.05 [0.032-0.07],21167 [18198-24686],8,1948.52859110546,77.4585312495926,0,-9868.437,222 [186-267]
Phi(~Time + I(Time^2))p(~Time)pent(~Time)N(~1),0.86 [0.795-0.906],0.03 [0.017-0.038],0.05 [0.029-0.076],19612 [16660-23168],8,1948.62499110546,77.5549312495928,0,-9868.3406,229 [185-284]
Phi(~Time + I(Time^2))p(~wind)pent(~Time + I(Time^2))N(~1),0.85 [0.787-0.901],0.03 [0.022-0.038],0.05 [0.028-0.082],19697 [16931-22982],9,1948.94647118644,77.8764113305697,0,-9870.0344,189 [159-225]
Phi(~Time)p(~Time + I(Time^2))pent(~Time)N(~1),0.9 [0.836-0.938],0.03 [0.018-0.036],0.04 [0.022-0.081],23311 [18868-28939],8,1949.74719110546,78.6771312495928,0,-9867.2184,211 [182-246]
Phi(~Time + I(Time^2))p(~Time)pent(~Time + I(Time^2))N(~1),0.86 [0.777-0.911],0.03 [0.018-0.042],0.05 [0.027-0.087],19624 [16773-23034],9,1950.16197118644,79.0919113305697,0,-9868.8189,190 [164-222]
Phi(~Time + I(Time^2))p(~Time + I(Time^2))pent(~Time)N(~1),0.85 [0.778-0.909],0.03 [0.017-0.042],0.05 [0.028-0.085],19267 [16217-22980],9,1950.32107118644,79.2510113305696,0,-9868.6598,195 [167-227]
