model,Phi,p,pent,N,npar,AICc,DeltaAICc,weight,Deviance,ind_per_ha
Phi(~Time)p(~temp + sundur)pent(~1)N(~1),0.85 [0.732-0.927],0.05 [0.026-0.09],0.02 [0.003-0.166],484 [315-792],7,229.276233333333,27.8210096045198,4.38654003471893e-07,-324.56307,4 [3-6]
Phi(~1)p(~temp + wind)pent(~Time)N(~1),0.86 [0.774-0.92],0.07 [0.032-0.13],0.09 [0.047-0.173],607 [392-989],7,229.470843333333,28.0156196045198,3.9798167254219e-07,-324.36847,4 [3-6]
Phi(~Time)p(~temp + wind)pent(~Time + I(Time^2))N(~1),0.87 [0.651-0.95],0.05 [0.021-0.13],0.08 [0.004-0.98],526 [331-895],9,230.062423728814,28.6072,2.96075875491371e-07,-328.36897,4 [2-6]
Phi(~1)p(~temp + wind)pent(~Time + I(Time^2))N(~1),0.85 [0.742-0.912],0.07 [0.034-0.153],0.09 [0.041-0.231],580 [372-956],8,230.744434033613,29.2892103047999,2.10526304054642e-07,-325.37162,4 [3-7]
Phi(~Time + I(Time^2))p(~1)pent(~1)N(~1),0.91 [0.6-0],0.04 [1-0],0 [0-0],431 [431-431],6,233.838754876033,32.3835311472195,4.48108449089073e-08,-317.76143,4 [2-7]
Phi(~Time)p(~temp)pent(~1)N(~1),0.88 [0.746-0.949],0.04 [0.023-0.081],0.01 [0-0.855],481 [311-798],6,235.158834876033,33.7036111472195,2.31596185875979e-08,-316.44135,3 [2-5]
Phi(~Time)p(~temp + wind)pent(~1)N(~1),0.87 [0.74-0.947],0.05 [0.023-0.086],0.01 [0-0.724],488 [316-804],7,236.517313333333,35.0620896045198,1.17419858825219e-08,-317.32199,4 [2-6]
Phi(~Time)p(~sundur)pent(~1)N(~1),0.84 [0.708-0.919],0.05 [0.027-0.099],0.05 [0.02-0.118],544 [349-900],6,237.152444876033,35.6972211472195,8.54721230841989e-09,-314.44774,4 [2-6]
Phi(~Time)p(~sundur + wind)pent(~1)N(~1),0.83 [0.702-0.916],0.05 [0.027-0.104],0.05 [0.019-0.117],540 [348-888],7,238.624283333333,37.1690596045198,4.09466929308795e-09,-315.21502,4 [2-6]
Phi(~Time)p(~1)pent(~1)N(~1),0.87 [0.735-0.94],0.05 [0.025-0.085],0.03 [0.004-0.174],514 [327-863],5,240.525673278689,39.070449549875,1.58247643298633e-09,-308.8721,4 [3-7]
Phi(~Time)p(~wind)pent(~1)N(~1),0.86 [0.729-0.938],0.05 [0.024-0.089],0.03 [0.004-0.167],516 [330-859],6,242.187594876033,40.7323711472195,6.89375050296595e-10,-309.41259,4 [2-7]
Phi(~1)p(~temp + wind + sundur)pent(~1)N(~1),0.92 [0.891-0.948],0.04 [0.023-0.071],0 [0-0],624 [400-1022],7,242.640473333333,41.1852496045198,5.49685465822197e-10,-311.19883,3 [3-3]
Phi(~1)p(~Time)pent(~1)N(~1),0.9 [0.733-0.97],0.08 [0.042-0.155],0.1 [0.095-0.1],787 [494-1305],5,243.000613278689,41.545389549875,4.59103769403016e-10,-306.39717,4 [3-6]
Phi(~1)p(~temp + sundur)pent(~1)N(~1),0.93 [0.898-0.953],0.04 [0.023-0.066],0 [0-0],602 [388-983],6,243.056294876033,41.6010711472195,4.46498241977096e-10,-308.5439,4 [2-6]
Phi(~Time + I(Time^2))p(~Time)pent(~1)N(~1),0.86 [0.552-0.952],0.07 [0.033-0.141],0.1 [0.088-0.103],785 [494-1296],7,243.080363333333,41.6251396045198,4.41157182266863e-10,-310.75894,4 [2-6]
Phi(~Time)p(~Time)pent(~1)N(~1),0.87 [0.67-0.956],0.07 [0.037-0.144],0.1 [0.092-0.101],798 [505-1310],6,243.296614876033,41.8413911472195,3.95945059489884e-10,-308.30357,6 [3-16]
Phi(~1)p(~Time + I(Time^2))pent(~1)N(~1),0.9 [0.731-0.968],0.07 [0.031-0.155],0.1 [0.088-0.103],784 [494-1293],6,243.420254876033,41.9650311472195,3.72208977110474e-10,-308.17993,7 [3-16]
Phi(~Time)p(~Time + I(Time^2))pent(~1)N(~1),0.88 [0.643-0.966],0.07 [0.029-0.159],0.1 [0.086-0.105],782 [491-1294],7,245.024183333333,43.5689596045198,1.66916090544689e-10,-308.81512,5 [3-10]
Phi(~1)p(~temp)pent(~1)N(~1),0.93 [0.902-0.948],0.04 [0.029-0.052],0 [0-0],615 [409-963],5,245.674653278689,44.219429549875,1.20573106467049e-10,-303.72312,10 [4-24]
Phi(~1)p(~temp + wind)pent(~1)N(~1),0.93 [0.893-0.948],0.04 [0.023-0.068],0 [0-0],628 [403-1027],6,246.491324876033,45.0361011472195,8.01516498175189e-11,-305.10886,5 [3-10]
Phi(~1)p(~sundur)pent(~1)N(~1),0.95 [0.918-0.968],0.03 [0.021-0.058],0 [0-1],544 [355-881],5,252.954233278689,51.499009549875,3.16599145238425e-12,-296.44354,5 [3-11]
Phi(~1)p(~1)pent(~1)N(~1),0.94 [0.915-0.963],0.04 [0.022-0.057],0 [0-1],563 [366-911],4,253.042463252033,51.587239523219,3.02935969366776e-12,-294.18871,4 [3-7]
Phi(~1)p(~sundur + wind)pent(~1)N(~1),0.95 [0.914-0.966],0.04 [0.021-0.061],0 [0-0],553 [360-897],6,254.112534876033,52.6573111472195,1.77413940476514e-12,-297.48765,4 [3-7]
Phi(~1)p(~wind)pent(~1)N(~1),0.94 [0.911-0.961],0.04 [0.022-0.061],0 [0-0],572 [371-928],5,254.384403278689,52.929179549875,1.54864640398202e-12,-295.01338,3 [3-3]
